,question,parent,type,treatment
Region,Region,,,dummy
Province,Province,,,dummy
Commune,Commune,,,dummy
Gender,Note the respondent's gender.,,,
Age,How old are you?,,continue,
Resp-18,A1. Are you responsible for anyone under the age of 18?,,,
recCash,"A2. Have you or a member of your family received monetary assistance over the course of the last 6 months from humanitarian actors? For example: cash transfers, cash, or coupons.",,,
Pbseeing,"A3. Do you have difficulty seeing, even if wearing glasses?",,,to_code
PbHearing,"A4. Do you have difficulty hearing, even if using a hearing aid?",,,to_code
PbWalking,A5. Do you have difficulty walking or climbing steps?,,,to_code
PbConcent,A6. Do you have difficulty remembering or concentrating?,,,to_code
PbSelfcare,A7. Do you have difficulty (with self-care such as) washing all over or dressing?,,,to_code
PbComm,"A8. Using your usual (customary) language, do you have difficulty communicating, for example understanding or being understood?",,,to_code
KnowHum,B1. Do you know how humanitarian organisations decide who receives humanitarian aid and who does not?,,,
AppropBenef,B2. Does aid go to those who need it most?,,,to_code
B3. Unregistered people,B3. Who is left out?/Unregistered people,AppropBenef,,cat
B3. Newcomers,B3. Who is left out?/Newcomers,AppropBenef,,cat
B3. Elderly,B3. Who is left out?/Elderly,AppropBenef,,cat
B3. Sick people /chronically ill,B3. Who is left out?/Sick people /chronically ill,AppropBenef,,cat
"B3. Persons with disabilities (types of disabilities: physical, visual, auditory, mental)","B3. Who is left out?/Persons with disabilities (types of disabilities: physical, visual, auditory, mental)",AppropBenef,,cat
B3. Widows,B3. Who is left out?/Widows,AppropBenef,,cat
B3. Ethnic minorities,B3. Who is left out?/Ethnic minorities,AppropBenef,,cat
B3. Households with many members,B3. Who is left out?/Households with many members,AppropBenef,,cat
B3. Women-headed households,B3. Who is left out?/Women-headed households,AppropBenef,,cat
B3. Child-headed households,B3. Who is left out?/Child-headed households,AppropBenef,,cat
B3. Unaccompanied children,B3. Who is left out?/Unaccompanied children,AppropBenef,,cat
B3. Other,B3. Who is left out?/Other,AppropBenef,,cat
B3. I don't want to answer,B3. Who is left out?/I don't want to answer,AppropBenef,,cat
B4. They do not receive information about aid,B4. Why do you think these people are left out?/They do not receive information about aid,AppropBenef,,cat
B4. Those responsible for registration or selection discriminate,B4. Why do you think these people are left out?/Those responsible for registration or selection discriminate,AppropBenef,,cat
B4. They do not have the opportunity to register for humanitarian aid,B4. Why do you think these people are left out?/They do not have the opportunity to register for humanitarian aid,AppropBenef,,cat
B4. Humanitarian organizations do not provide services in their region,B4. Why do you think these people are left out?/Humanitarian organizations do not provide services in their region,AppropBenef,,cat
B4. The time of distribution/services does not suit them or the place is too far away,B4. Why do you think these people are left out?/The time of distribution/services does not suit them or the place is too far away,AppropBenef,,cat
B4. Dangers on the road / the journey to get aid is dangerous,B4. Why do you think these people are left out?/Dangers on the road / the journey to get aid is dangerous,AppropBenef,,cat
B4. Logistical arrangements to access goods and services are not adapted to these people's needs,B4. Why do you think these people are left out?/Logistical arrangements to access goods and services are not adapted to these people's needs,AppropBenef,,cat
B4. Harassment at distribution points,B4. Why do you think these people are left out?/Harassment at distribution points,AppropBenef,,cat
B4. Aid doesn't arrive in time for them,B4. Why do you think these people are left out?/Aid doesn't arrive in time for them,AppropBenef,,cat
B4. Other,B4. Why do you think these people are left out?/Other,AppropBenef,,cat
